,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
73,-2.76%,0.74%,8.33%,1 days 05:03:09,46.88%,28.73584340637962,2138,0.8979458132528051,0.32580721,32%,114,-9.51%,0 days 08:00:00,1.2,45
74,-3.43%,0.82%,7.67%,1 days 11:43:24,46.88%,28.119739158544167,2747,0.9769783253233432,0.37727288999999997,38%,94,-15.57%,1 days 01:00:00,1.5,45
75,-4.13%,1.11%,7.85%,1 days 17:57:45,46.88%,30.412113266189294,1097,1.1059089919431742,0.50463473,44%,80,-15.57%,1 days 01:00:00,1.8,45
76,-4.54%,1.51%,7.73%,1 days 23:25:21,46.88%,29.08031165282691,1097,1.1569559027990064,0.5171323400000005,49%,71,-15.57%,1 days 01:00:00,2.0,45
77,-5.44%,0.75%,6.74%,2 days 04:28:34,33.85%,26.75317731165813,1691,1.237682528563653,0.5449741700000013,51%,63,-15.57%,1 days 01:00:00,2.2,45
78,-4.95%,0.56%,7.17%,2 days 07:39:16,33.85%,23.974542440653863,2347,0.9707844386994237,0.3575932600000007,45%,55,-13.98%,7 days 04:00:00,2.5,45
79,-6.56%,1.39%,11.23%,3 days 06:49:47,80.41%,29.704459762477576,2353,0.6545570829925484,0.18321459000000018,45%,47,-30.20%,4 days 03:00:00,2.8,45
80,-8.74%,1.90%,13.96%,5 days 03:30:00,80.41%,17.04694524929937,1754,1.168020845978757,0.4075736399999994,47%,32,-21.76%,3 days 19:00:00,3.0,45
81,-2.97%,0.33%,7.12%,1 days 10:08:55,47.10%,42.48702012334628,2974,0.6678752037339117,0.132494109999999,33%,101,-14.16%,0 days 12:00:00,1.0,60
82,-3.18%,0.44%,7.00%,1 days 13:48:40,47.10%,35.86926085991441,2751,0.9176551877339472,0.36006749000000005,36%,90,-14.16%,0 days 12:00:00,1.2,60
83,-3.93%,-0.08%,6.02%,1 days 20:08:48,31.98%,35.833139793586206,1705,0.7884451324108439,0.25415988000000067,39%,75,-18.35%,0 days 21:00:00,1.5,60
84,-4.40%,0.15%,6.62%,2 days 03:22:51,31.98%,43.78208607021738,2353,0.6420220636112678,0.16015789000000047,41%,63,-18.35%,0 days 21:00:00,1.8,60
85,-4.87%,-0.01%,6.40%,2 days 09:08:17,31.98%,44.820965066723225,2353,0.5945954485149005,0.13463880000000072,43%,58,-15.11%,1 days 05:00:00,2.0,60
86,-5.45%,-0.17%,6.65%,2 days 10:02:11,31.98%,33.61787181631474,2347,0.6887851379231461,0.20718319000000074,44%,55,-16.32%,1 days 06:00:00,2.2,60
87,-7.07%,-0.56%,7.20%,2 days 18:24:47,27.81%,43.40522564564726,1754,0.3806663250364195,0.023315350000000512,46%,46,-34.71%,2 days 05:00:00,2.5,60
88,-7.56%,1.10%,14.70%,4 days 02:38:20,75.42%,38.957517603471906,1754,0.5512153443741024,0.1249403,39%,36,-31.14%,3 days 19:00:00,2.8,60
89,-7.84%,1.09%,15.98%,4 days 19:01:52,75.42%,38.88141744536493,4733,0.019153019255042848,-0.17997486999999968,38%,32,-26.56%,19 days 09:00:00,3.0,60
90,-2.69%,0.47%,7.41%,1 days 16:18:00,44.79%,28.292477778166443,2646,1.3615664321330454,0.7023014899999978,31%,80,-9.05%,0 days 14:00:00,1.0,72
91,-3.32%,0.45%,7.24%,1 days 22:53:09,44.79%,26.51509125366286,2646,1.3791318460366986,0.6992315199999992,36%,70,-14.25%,1 days 22:00:00,1.2,72
92,-3.84%,0.76%,7.75%,2 days 06:14:29,44.79%,28.946902713499785,2353,1.2511077869689289,0.5867483999999994,40%,58,-16.02%,1 days 23:00:00,1.5,72
93,-4.54%,0.65%,7.82%,2 days 12:25:12,44.79%,39.685162197141274,2276,0.8669567580531853,0.33525954999999863,42%,50,-22.06%,3 days 06:00:00,1.8,72
94,-5.61%,0.23%,7.13%,2 days 13:32:30,44.79%,39.9227432887301,2526,0.8948102743655916,0.34736061999999945,46%,48,-22.06%,3 days 06:00:00,2.0,72
95,-5.96%,0.03%,8.22%,2 days 17:18:40,44.79%,43.19255114494341,2597,0.8410375331120963,0.31232616,42%,45,-23.44%,3 days 07:00:00,2.2,72
96,-7.24%,-0.29%,9.27%,3 days 07:42:38,38.89%,43.54041985392693,3942,0.7629149689503366,0.25726508999999864,42%,38,-32.75%,3 days 17:00:00,2.5,72
97,-8.57%,3.59%,15.74%,5 days 04:40:43,72.93%,34.469708359021105,3942,1.136566620716827,0.5066709599999988,50%,28,-32.75%,3 days 17:00:00,2.8,72
98,-8.48%,3.25%,16.79%,5 days 00:02:09,72.93%,32.290967877174936,3942,0.9462846956492229,0.3839893999999986,46%,28,-35.29%,3 days 18:00:00,3.0,72
99,-3.13%,0.93%,8.88%,1 days 20:08:55,44.79%,28.011991881575014,2388,1.4972769894441533,0.7663820099999994,34%,74,-14.25%,1 days 22:00:00,1.0,84
100,-3.98%,0.49%,8.20%,2 days 04:08:00,44.79%,34.03893464860725,2353,1.1147634325777098,0.4894945599999996,37%,60,-17.13%,0 days 07:00:00,1.2,84
101,-4.43%,0.56%,7.91%,2 days 11:25:23,44.79%,33.596821318835794,1691,1.2326972926240616,0.5709556500000006,40%,52,-17.13%,0 days 07:00:00,1.5,84
102,-5.20%,0.65%,7.96%,2 days 20:18:40,44.79%,39.57106203844325,2977,0.8415819363920536,0.3131206500000001,44%,45,-18.46%,2 days 22:00:00,1.8,84
103,-5.94%,0.03%,8.65%,2 days 21:28:38,44.79%,38.96332968563451,2977,0.798469544176763,0.2827698099999998,41%,44,-22.06%,3 days 06:00:00,2.0,84
104,-7.14%,-0.03%,9.75%,3 days 08:55:16,44.79%,47.93181935266895,1996,0.5874859192011633,0.11777305999999976,42%,38,-23.44%,3 days 07:00:00,2.2,84
