,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
53,N/A,N/A,N/A,0,N/A,0.4715878322346104,199,0.11018058893102582,0.000588000000000255,N/A,0,N/A,0,3.0,26
54,-0.19%,0.02%,0.23%,0 days 00:14:30,0.46%,0.7780377389834997,165,0.32614235077601067,0.0039620000000022415,50%,8,-0.25%,0 days 00:04:00,1.0,30
55,-0.23%,-0.02%,0.19%,0 days 00:14:30,0.46%,0.9349478350608194,199,0.025845384525856007,0.00024200000000140776,50%,8,-0.25%,0 days 00:04:00,1.2,30
56,-0.24%,-0.01%,0.17%,0 days 00:16:42.857142,0.46%,0.8770799423474434,199,0.09038766451969395,0.0010140000000014027,57%,7,-0.29%,0 days 00:13:00,1.5,30
57,-0.29%,0.05%,0.17%,0 days 00:23:00,0.45%,0.9886896288839514,199,0.36644737617712425,0.0037760000000004457,75%,4,-0.29%,0 days 00:13:00,1.8,30
58,-0.29%,0.05%,0.17%,0 days 00:23:00,0.45%,0.9917612125773965,199,0.07053570184451527,0.0006560000000008781,75%,4,-0.29%,0 days 00:13:00,2.0,30
59,-0.29%,0.05%,0.17%,0 days 00:23:00,0.45%,1.1192164688122215,199,-0.058418222359171365,-0.0006239999999985146,75%,4,-0.29%,0 days 00:13:00,2.2,30
60,-0.41%,0.08%,0.33%,0 days 00:38:00,0.45%,0.6189545880904347,163,0.2831002802503677,0.002560000000001006,67%,3,-0.41%,0 days 00:22:00,2.5,30
61,nan%,0.33%,0.33%,0 days 00:46:00,0.45%,0.9296267751628772,199,-0.12489828512940516,-0.0010279999999995848,100%,2,0.20%,0 days 00:54:00,2.8,30
62,-0.01%,0.10%,0.20%,0 days 00:38:00,0.20%,0.7358549559183502,199,-0.43704105909401386,-0.0031159999999993415,50%,2,-0.01%,0 days 00:22:00,3.0,30
63,-0.18%,0.02%,0.29%,0 days 00:17:51.428571,0.45%,0.9881505010966048,199,0.25963542927310546,0.0032540000000014224,43%,7,-0.25%,0 days 00:04:00,1.0,35
64,-0.20%,-0.01%,0.23%,0 days 00:17:42.857142,0.45%,1.0265459292863446,199,-0.13933369759710057,-0.0017859999999993992,43%,7,-0.25%,0 days 00:04:00,1.2,35
