,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
50,-4.07%,1.02%,5.98%,1 days 01:16:48.000000000,23.19%,67.68498172930626,2509,2.761944618155653,4.398886850000009,51%,75,-19.41%,1 days 22:00:00.000000000,26,120,5
186,-5.29%,1.91%,10.65%,2 days 13:09:41.000000000,38.82%,52.06966309258988,1686,2.7484934555992484,4.397930179999996,45%,31,-13.25%,0 days 15:00:00.000000000,26,252,26
199,-6.34%,2.78%,11.08%,3 days 13:11:26.000000000,26.40%,65.37069936221909,2017,2.8790511928350866,4.368093240000001,52%,21,-14.41%,0 days 15:00:00.000000000,252,5,45
440,-9.68%,3.18%,14.21%,5 days 18:09:14.000000000,39.27%,68.72324061832298,2017,2.700985042349762,4.351738230000003,54%,13,-22.08%,11 days 09:00:00.000000000,5,252,120
173,-10.54%,3.87%,12.51%,4 days 17:03:45.000000000,21.48%,80.98688596899069,2017,2.922491727149649,4.348582960000003,62%,16,-24.14%,3 days 22:00:00.000000000,96,96,26
168,-5.36%,1.71%,8.77%,1 days 21:25:30.000000000,29.95%,58.27860586949516,2276,2.775597057322696,4.334752579999995,50%,40,-24.10%,2 days 21:00:00.000000000,5,96,26
138,-5.92%,1.57%,9.69%,1 days 14:04:48.000000000,27.02%,76.02770560893507,2509,2.673903165472616,4.317935030000004,48%,50,-18.36%,0 days 19:00:00.000000000,26,12,26
332,-11.78%,3.04%,13.82%,3 days 23:56:51.000000000,39.61%,76.99444900122442,2276,3.1099169794847628,4.303568650000003,58%,19,-22.91%,1 days 22:00:00.000000000,60,12,96
45,-3.85%,1.70%,8.17%,1 days 23:35:23.000000000,27.26%,81.89279749825843,2735,2.7266420966145217,4.283329620000005,46%,39,-11.04%,2 days 16:00:00.000000000,96,96,5
273,-5.55%,2.03%,8.27%,2 days 11:09:41.000000000,22.54%,71.36699611692751,2276,2.811992085544229,4.2817926299999955,55%,31,-21.60%,3 days 08:00:00.000000000,12,26,60
354,-12.08%,4.58%,12.91%,5 days 02:36:00.000000000,46.29%,84.86685640670368,2276,2.659746498992584,4.1849287700000035,67%,15,-22.54%,3 days 02:00:00.000000000,26,60,96
317,-15.85%,4.56%,16.22%,6 days 14:00:00.000000000,34.40%,54.71903376962132,2017,2.930867507609696,4.170464500000003,64%,11,-21.34%,6 days 05:00:00.000000000,96,252,60
324,-13.30%,3.00%,11.14%,3 days 14:00:00.000000000,34.62%,72.84330321288459,2276,3.0266445545859977,4.111851470000005,67%,21,-21.77%,4 days 10:00:00.000000000,60,5,96
101,-5.85%,1.60%,8.54%,2 days 15:06:12.000000000,23.42%,56.29079081055002,1686,2.7356802481580353,4.033808540000002,52%,29,-23.77%,3 days 16:00:00.000000000,96,60,12
97,-3.63%,0.96%,4.95%,1 days 02:44:23.000000000,26.17%,60.89721474498862,2378,2.8327748082248885,4.015891159999997,53%,73,-12.26%,1 days 04:00:00.000000000,12,60,12
217,-6.32%,1.56%,9.01%,2 days 06:25:43.000000000,23.92%,65.20761248069046,2276,2.6814841760111374,4.007052749999997,51%,35,-29.63%,4 days 03:00:00.000000000,12,45,45
163,-6.51%,1.63%,7.86%,2 days 14:04:00.000000000,22.82%,65.14586991392181,2276,2.795818464463084,4.0050108499999935,57%,30,-31.23%,4 days 01:00:00.000000000,45,60,26
380,-18.51%,4.49%,14.35%,7 days 07:00:00.000000000,39.91%,59.85900103478469,2017,2.8191063548501347,3.9970210100000028,70%,10,-20.43%,5 days 15:00:00.000000000,60,252,96
170,-5.20%,2.26%,10.26%,2 days 15:06:12.000000000,21.75%,79.5377121654507,2735,2.8166266872999848,3.918141300000011,48%,29,-20.47%,1 days 01:00:00.000000000,26,96,26
254,-9.14%,4.96%,21.87%,6 days 13:16:22.000000000,32.27%,52.012224371845406,1057,2.785192856447406,3.905173610000001,45%,11,-20.64%,5 days 23:00:00.000000000,120,252,45
95,-4.17%,2.32%,10.30%,2 days 14:53:48.000000000,22.49%,62.23751738477639,2735,2.8823591218016373,3.899555479999999,45%,29,-19.33%,1 days 18:00:00.000000000,252,45,12
195,-5.80%,1.95%,8.84%,2 days 07:52:56.000000000,32.57%,80.32021061120544,2735,2.664338731143494,3.8960739999999934,53%,34,-25.59%,3 days 21:00:00.000000000,45,5,45
