BOLL_RSIStrategy_30_0.1_7_76_45,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-17 17:00:00,BTCUSDT,CLOSE,0.00012465824687856407,Binance,7172.01,0.0008940501931955304
2018-07-18 10:00:00,BTCUSDT,LONG,0.0001205640229030249,Binance,7400.74,0.0008931561430023348
2018-07-18 17:00:00,BTCUSDT,CLOSE,0.0001205640229030249,Binance,7505.0,0.0009048329918872019
2018-07-18 19:00:00,BTCUSDT,LONG,0.0001220799582987701,Binance,7396.99,0.0009039281588953147
2018-07-18 21:00:00,BTCUSDT,CLOSE,0.0001220799582987701,Binance,7321.95,0.0008938633506656797
2018-07-19 20:00:00,BTCUSDT,LONG,0.00012019613974805427,Binance,7421.84,0.0008929694873150142
2018-07-20 06:00:00,BTCUSDT,CLOSE,0.00012019613974805427,Binance,7372.58,0.00088615565598371
2018-07-22 07:00:00,BTCUSDT,LONG,0.00011959170291768912,Binance,7395.03,0.0008852695003277262
2018-07-22 13:00:00,BTCUSDT,CLOSE,0.00011959170291768912,Binance,7464.71,0.0008927173806867032
2018-07-23 14:00:00,BTCUSDT,LONG,0.00011573938340978992,Binance,7697.75,0.0008918246633060164
2018-07-24 05:00:00,BTCUSDT,CLOSE,0.00011573938340978992,Binance,7985.99,0.0009242935585167481
2018-07-25 06:00:00,BTCUSDT,LONG,0.00011191078345701136,Binance,8242.69,0.0009233692649582314
2018-07-25 13:00:00,BTCUSDT,CLOSE,0.00011191078345701136,Binance,8242.69,0.0009224458956932731
2018-07-28 01:00:00,BTCUSDT,LONG,0.00011263941347703197,Binance,8173.0,0.0009215234497975799
2018-07-28 15:00:00,BTCUSDT,CLOSE,0.00011263941347703197,Binance,8116.11,0.000914193870115074
2018-07-28 16:00:00,BTCUSDT,LONG,0.00011160308700428299,Binance,8175.1,0.0009132796762449589
2018-07-28 20:00:00,BTCUSDT,CLOSE,0.00011160308700428299,Binance,8165.0,0.0009112392053899707
2018-07-29 06:00:00,BTCUSDT,LONG,0.00011090188510260677,Binance,8200.2,0.0009103279661845806
2018-07-29 07:00:00,BTCUSDT,CLOSE,0.00011090188510260677,Binance,8172.78,0.0009063767085288826
2018-08-02 07:00:00,BTCUSDT,LONG,0.00011810482588961134,Binance,7659.0,0.0009054703318203537
2018-08-02 10:00:00,BTCUSDT,CLOSE,0.00011810482588961134,Binance,7573.17,0.000894427924282428
2018-08-04 00:00:00,BTCUSDT,LONG,0.00011971701094541995,Binance,7456.25,0.0008935334963581456
2018-08-04 02:00:00,BTCUSDT,CLOSE,0.00011971701094541995,Binance,7470.0,0.0008942860717622871
2018-08-04 08:00:00,BTCUSDT,LONG,0.00011956476924357687,Binance,7464.56,0.0008933917856905247
2018-08-04 10:00:00,BTCUSDT,CLOSE,0.00011956476924357687,Binance,7405.14,0.0008853938553163809
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
-1.3575819307234698,-2.5238499647086656,26.453457952932673,2789,-0.11549153853893546,-0.32688396691472527,-0.29344360234124656
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
91,0.4065934065934066,0.0007861954505317934,0.0154775841179177,-0.00928012641415855,0.07542510121457494,-0.041548897682306386,0 days 01:00:00,0 days 06:54:44
