MACD_RSIStrategy_41_113_2_74_36,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-01-03 22:00:00,BTCUSDT,LONG,0.00012027325596296514,Binance,14799.91,0.001781815178837685
2018-01-04 02:00:00,BTCUSDT,SHORT,0.00012027325596296514,Binance,15110.9,0.00181743714353077
2018-01-04 03:00:00,BTCUSDT,LONG,0.00011996082576095405,Binance,15119.97,0.0018156197063872396
2018-01-04 06:00:00,BTCUSDT,SHORT,0.00011996082576095405,Binance,14899.01,0.001787297542620712
2018-01-04 07:00:00,BTCUSDT,LONG,0.00012094689007546875,Binance,14748.0,0.0017855102450780914
2018-01-04 10:00:00,BTCUSDT,SHORT,0.00012094689007546875,Binance,14429.0,0.0017451426768989387
2018-01-04 15:00:00,BTCUSDT,LONG,0.0001213441735697124,Binance,14353.01,0.00174339753422204
2018-01-04 17:00:00,BTCUSDT,SHORT,0.0001213441735697124,Binance,14648.89,0.0017775574507636243
2018-01-04 21:00:00,BTCUSDT,LONG,0.00011988231513024486,Binance,14797.88,0.0017757798933128606
2018-01-04 22:00:00,BTCUSDT,SHORT,0.00011988231513024486,Binance,14939.39,0.0017909686598336287
2018-01-05 03:00:00,BTCUSDT,LONG,0.00011943496976570717,Binance,14965.37,0.0017891776911737951
2018-01-05 06:00:00,BTCUSDT,SHORT,0.00011943496976570717,Binance,14952.34,0.0017858322758265738
2018-01-05 07:00:00,BTCUSDT,LONG,0.00011945346337951229,Binance,14920.14,0.0017840464435507472
2018-01-05 08:00:00,BTCUSDT,SHORT,0.00011945346337951229,Binance,15424.81,0.0018425469764709347
2018-01-05 12:00:00,BTCUSDT,LONG,0.00011610454129719469,Binance,15838.0,0.001840704429494464
2018-01-05 14:00:00,BTCUSDT,SHORT,0.00011610454129719469,Binance,16103.18,0.0018696523273261597
2018-01-05 19:00:00,BTCUSDT,LONG,0.00011244434126810188,Binance,16594.12,0.0018677826749988336
2018-01-05 20:00:00,BTCUSDT,SHORT,0.00011244434126810188,Binance,16668.36,0.0018742627602195787
2018-01-06 02:00:00,BTCUSDT,LONG,0.00011308368537565766,Binance,16540.99,0.0018723884974593593
2018-01-06 05:00:00,BTCUSDT,SHORT,0.00011308368537565766,Binance,16642.84,0.0018820336823174104
