RSIStrategy_5_70_30,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-01-26 14:00:00,BTCUSDT,SHORT,100,Binance,10829.99,1082.999
2018-01-26 22:00:00,BTCUSDT,LONG,100,Binance,10832.85,1083.285
2018-01-27 06:00:00,BTCUSDT,SHORT,100,Binance,11288.12,1128.8120000000001
2018-01-27 11:00:00,BTCUSDT,LONG,100,Binance,11020.0,1102.0
2018-01-27 16:00:00,BTCUSDT,SHORT,100,Binance,11610.01,1161.001
2018-01-28 11:00:00,BTCUSDT,LONG,100,Binance,12010.91,1201.0910000000001
2018-01-28 20:00:00,BTCUSDT,SHORT,100,Binance,11939.99,1193.999
2018-01-29 01:00:00,BTCUSDT,LONG,100,Binance,11499.63,1149.963
2018-01-29 16:00:00,BTCUSDT,SHORT,100,Binance,11396.01,1139.601
2018-01-29 19:00:00,BTCUSDT,LONG,100,Binance,11283.81,1128.381
2018-01-30 06:00:00,BTCUSDT,SHORT,100,Binance,11022.29,1102.229
2018-01-30 13:00:00,BTCUSDT,LONG,100,Binance,10620.76,1062.076
2018-01-31 08:00:00,BTCUSDT,SHORT,100,Binance,10239.66,1023.966
2018-01-31 15:00:00,BTCUSDT,LONG,100,Binance,10017.47,1001.747
2018-01-31 19:00:00,BTCUSDT,SHORT,100,Binance,10114.27,1011.4270000000001
2018-02-01 09:00:00,BTCUSDT,LONG,100,Binance,9576.1,957.6100000000001
2018-02-02 13:00:00,BTCUSDT,SHORT,100,Binance,8878.06,887.806
2018-02-02 20:00:00,BTCUSDT,LONG,100,Binance,8668.0,866.8000000000001
2018-02-02 23:00:00,BTCUSDT,SHORT,100,Binance,8873.03,887.3030000000001
2018-02-03 03:00:00,BTCUSDT,LONG,100,Binance,8344.81,834.481
2018-02-03 08:00:00,BTCUSDT,SHORT,100,Binance,8934.01,893.4010000000001
2018-02-03 23:00:00,BTCUSDT,LONG,100,Binance,9199.96,919.996
2018-02-04 06:00:00,BTCUSDT,SHORT,100,Binance,9270.09,927.009
2018-02-04 09:00:00,BTCUSDT,LONG,100,Binance,8829.99,882.999
2018-02-06 12:00:00,BTCUSDT,SHORT,100,Binance,6719.07,671.907
2018-02-07 02:00:00,BTCUSDT,LONG,100,Binance,7282.02,728.2020000000001
2018-02-07 07:00:00,BTCUSDT,SHORT,100,Binance,7669.97,766.9970000000001
2018-02-07 16:00:00,BTCUSDT,LONG,100,Binance,7919.94,791.994
2018-02-08 03:00:00,BTCUSDT,SHORT,100,Binance,8269.76,826.9760000000001
2018-02-09 12:00:00,BTCUSDT,LONG,100,Binance,8241.0,824.1
2018-02-09 14:00:00,BTCUSDT,SHORT,100,Binance,8450.49,845.049
2018-02-09 22:00:00,BTCUSDT,LONG,100,Binance,8565.98,856.598
2018-02-10 00:00:00,BTCUSDT,SHORT,100,Binance,8879.6,887.96
2018-02-10 10:00:00,BTCUSDT,LONG,100,Binance,8481.0,848.1
2018-02-11 12:00:00,BTCUSDT,SHORT,100,Binance,8281.0,828.1
2018-02-11 20:00:00,BTCUSDT,LONG,100,Binance,8246.84,824.6840000000001
2018-02-12 04:00:00,BTCUSDT,SHORT,100,Binance,8489.94,848.9940000000001
2018-02-12 14:00:00,BTCUSDT,LONG,100,Binance,8529.59,852.9590000000001
2018-02-12 19:00:00,BTCUSDT,SHORT,100,Binance,8792.76,879.2760000000001
2018-02-13 01:00:00,BTCUSDT,LONG,100,Binance,8727.16,872.716
2018-02-13 14:00:00,BTCUSDT,SHORT,100,Binance,8630.0,863.0
2018-02-15 13:00:00,BTCUSDT,LONG,100,Binance,9638.76,963.8760000000001
2018-02-15 14:00:00,BTCUSDT,SHORT,100,Binance,9829.0,982.9000000000001
2018-02-16 05:00:00,BTCUSDT,LONG,100,Binance,10055.03,1005.5030000000002
2018-02-16 14:00:00,BTCUSDT,SHORT,100,Binance,10025.65,1002.565
2018-02-18 05:00:00,BTCUSDT,LONG,100,Binance,10328.34,1032.834
2018-02-18 14:00:00,BTCUSDT,SHORT,100,Binance,10743.03,1074.303
2018-02-18 22:00:00,BTCUSDT,LONG,100,Binance,10570.0,1057.0
2018-02-19 07:00:00,BTCUSDT,SHORT,100,Binance,10815.62,1081.5620000000001
2018-02-20 11:00:00,BTCUSDT,LONG,100,Binance,11401.81,1140.181
2018-02-20 13:00:00,BTCUSDT,SHORT,100,Binance,11542.32,1154.232
2018-02-20 22:00:00,BTCUSDT,LONG,100,Binance,11374.62,1137.4620000000002
2018-02-21 09:00:00,BTCUSDT,SHORT,100,Binance,11167.03,1116.7030000000002
2018-02-21 14:00:00,BTCUSDT,LONG,100,Binance,10636.0,1063.6000000000001
2018-02-22 01:00:00,BTCUSDT,SHORT,100,Binance,10634.25,1063.425
2018-02-22 08:00:00,BTCUSDT,LONG,100,Binance,10390.14,1039.014
2018-02-23 05:00:00,BTCUSDT,SHORT,100,Binance,9787.0,978.7
2018-02-23 19:00:00,BTCUSDT,LONG,100,Binance,10033.0,1003.3000000000001
2018-02-24 00:00:00,BTCUSDT,SHORT,100,Binance,10323.64,1032.364
2018-02-24 07:00:00,BTCUSDT,LONG,100,Binance,10119.16,1011.916
2018-02-25 01:00:00,BTCUSDT,SHORT,100,Binance,9756.01,975.6010000000001
2018-02-25 11:00:00,BTCUSDT,LONG,100,Binance,9665.0,966.5
2018-02-25 19:00:00,BTCUSDT,SHORT,100,Binance,9468.53,946.8530000000001
2018-02-26 06:00:00,BTCUSDT,LONG,100,Binance,9418.41,941.841
2018-02-26 11:00:00,BTCUSDT,SHORT,100,Binance,9715.49,971.549
2018-02-27 02:00:00,BTCUSDT,LONG,100,Binance,10149.64,1014.9639999999999
2018-02-27 06:00:00,BTCUSDT,SHORT,100,Binance,10306.0,1030.6000000000001
2018-02-27 18:00:00,BTCUSDT,LONG,100,Binance,10638.29,1063.8290000000002
2018-02-27 20:00:00,BTCUSDT,SHORT,100,Binance,10675.22,1067.522
2018-02-28 08:00:00,BTCUSDT,LONG,100,Binance,10525.0,1052.5
2018-02-28 20:00:00,BTCUSDT,SHORT,100,Binance,10670.0,1067.0
2018-03-01 01:00:00,BTCUSDT,LONG,100,Binance,10418.0,1041.8
2018-03-01 07:00:00,BTCUSDT,SHORT,100,Binance,10550.11,1055.0110000000002
2018-03-02 11:00:00,BTCUSDT,LONG,100,Binance,10898.95,1089.8950000000002
