RSIStrategy_2_77_34,tickers,['BTCUSDT'],initial equity,1,frequency,60 min,,
,,,,,,,,
Start date,2018/4/1 0:00,End date,2018/9/1 0:00,,,,,
,,,,,,,,
timestamp,ticker,action,quantity,exchange,price,commission,,
,,,,,,,,
2018/5/18 17:00,BTCUSDT,LONG,0.000116765,Binance,8101,0.000946864,,
,,,,,,,,
2018/5/18 18:00,BTCUSDT,SHORT,0.000116765,Binance,8200,0.000957477,,
,,,,,,,,
2018/5/19 0:00,BTCUSDT,LONG,0.000116523,Binance,8200.62,0.00095652,,
,,,,,,,,
2018/5/19 3:00,BTCUSDT,SHORT,0.000116523,Binance,8224.4,0.000958334,,
,,,,,,,,
2018/5/19 6:00,BTCUSDT,LONG,0.000116452,Binance,8213,0.000957376,,
,,,,,,,,
2018/5/19 11:00,BTCUSDT,SHORT,0.000116452,Binance,8366.08,0.000974245,,
,,,,,,,,
2018/5/19 13:00,BTCUSDT,LONG,0.000117189,Binance,8296.86,0.00097327,,
,,,,,,,,
2018/5/19 15:00,BTCUSDT,SHORT,0.000117189,Binance,8311.98,0.000974069,,
,,,,,,,,
2018/5/19 16:00,BTCUSDT,LONG,0.000117392,Binance,8281.01,0.000973095,,
,,,,,,,,
2018/5/19 23:00,BTCUSDT,SHORT,0.000117392,Binance,8233.49,0.000966543,,
,,,,,,,,
2018/5/20 0:00,BTCUSDT,LONG,0.000117779,Binance,8190.01,0.000965577,,
,,,,,,,,
2018/5/20 2:00,BTCUSDT,SHORT,0.000117779,Binance,8279.77,0.000975183,,
,,,,,,,,
2018/5/20 4:00,BTCUSDT,LONG,0.000117795,Binance,8262.1,0.000974208,,
,,,,,,,,
2018/5/20 8:00,BTCUSDT,SHORT,0.000117795,Binance,8289.01,0.000976404,,
,,,,,,,,
2018/5/20 11:00,BTCUSDT,LONG,0.000116828,Binance,8340.88,0.000975427,,
,,,,,,,,
2018/5/20 14:00,BTCUSDT,SHORT,0.000116828,Binance,8350,0.000975517,,
,,,,,,,,
2018/5/20 22:00,BTCUSDT,LONG,0.000114749,Binance,8484.29,0.000974542,,
,,,,,,,,
2018/5/21 3:00,BTCUSDT,SHORT,0.000114749,Binance,8501,0.000975485,,
,,,,,,,,
2018/5/21 8:00,BTCUSDT,LONG,0.000114251,Binance,8520.99,0.000974509,,
,,,,,,,,
2018/5/21 12:00,BTCUSDT,SHORT,0.000114251,Binance,8493.71,0.000970418,,
,,,,,,,,
2018/5/21 14:00,BTCUSDT,LONG,0.00011535,Binance,8396.01,0.000969447,,
,,,,,,,,
2018/5/21 20:00,BTCUSDT,SHORT,0.00011535,Binance,8405.01,0.000969516,,
,,,,,,,,
2018/5/22 0:00,BTCUSDT,LONG,0.000115878,Binance,8350,0.000968547,,
,,,,,,,,
2018/5/22 3:00,BTCUSDT,SHORT,0.000115878,Binance,8324.94,0.000964674,,
,,,,,,,,
2018/5/22 5:00,BTCUSDT,LONG,0.000116175,Binance,8287,0.00096371,,
,,,,,,,,
2018/5/22 6:00,BTCUSDT,SHORT,0.000116175,Binance,8327.1,0.000967404,,
,,,,,,,,
2018/5/22 8:00,BTCUSDT,LONG,0.000116417,Binance,8293.18,0.000966437,,
,,,,,,,,
2018/5/22 14:00,BTCUSDT,SHORT,0.000116417,Binance,8220,0.000956951,,
,,,,,,,,
2018/5/22 17:00,BTCUSDT,LONG,0.000116326,Binance,8210.01,0.000955994,,
,,,,,,,,
2018/5/23 3:00,BTCUSDT,SHORT,0.000116326,Binance,7956,0.00092549,,
,,,,,,,,
2018/5/23 5:00,BTCUSDT,LONG,0.000116739,Binance,7912.04,0.000924565,,
,,,,,,,,
2018/5/23 6:00,BTCUSDT,SHORT,0.000116739,Binance,7945.85,0.000927587,,
,,,,,,,,
2018/5/23 7:00,BTCUSDT,LONG,0.000118108,Binance,7838,0.00092666,,
,,,,,,,,
2018/5/23 12:00,BTCUSDT,SHORT,0.000118108,Binance,7909.32,0.000934156,,
,,,,,,,,
2018/5/23 14:00,BTCUSDT,LONG,0.000118461,Binance,7870,0.000933222,,
,,,,,,,,
2018/5/23 19:00,BTCUSDT,SHORT,0.000118461,Binance,7589.99,0.000899119,,
,,,,,,,,
2018/5/23 23:00,BTCUSDT,LONG,0.000119612,Binance,7501.95,0.00089822,,
,,,,,,,,
2018/5/24 1:00,BTCUSDT,SHORT,0.000119612,Binance,7585.66,0.000907334,,
,,,,,,,,
2018/5/24 2:00,BTCUSDT,LONG,0.00011981,Binance,7557.98,0.000906427,,
,,,,,,,,
2018/5/24 4:00,BTCUSDT,SHORT,0.00011981,Binance,7720.27,0.000924964,,
,,,,,,,,
2018/5/24 6:00,BTCUSDT,LONG,0.000120759,Binance,7644.29,0.000924039,,
,,,,,,,,
2018/5/24 12:00,BTCUSDT,SHORT,0.000120759,Binance,7530,0.000909314,,
,,,,,,,,
2018/5/24 17:00,BTCUSDT,LONG,0.0001208,Binance,7512.37,0.000908404,,
,,,,,,,,
2018/5/24 18:00,BTCUSDT,SHORT,0.0001208,Binance,7586.66,0.00091647,,
,,,,,,,,
2018/5/24 20:00,BTCUSDT,LONG,0.000121328,Binance,7538.54,0.000915554,,
,,,,,,,,
2018/5/24 23:00,BTCUSDT,SHORT,0.000121328,Binance,7575.01,0.000919063,,
,,,,,,,,
2018/5/25 0:00,BTCUSDT,LONG,0.000121452,Binance,7552.17,0.000918144,,
,,,,,,,,
2018/5/25 2:00,BTCUSDT,SHORT,0.000121452,Binance,7628.36,0.000926479,,
,,,,,,,,
2018/5/25 4:00,BTCUSDT,LONG,0.000121987,Binance,7579.73,0.000925553,,
,,,,,,,,
2018/5/25 5:00,BTCUSDT,SHORT,0.000121987,Binance,7622.01,0.000929785,,
,,,,,,,,
2018/5/25 6:00,BTCUSDT,LONG,0.000124006,Binance,7482.92,0.000928855,,
,,,,,,,,
2018/5/25 12:00,BTCUSDT,SHORT,0.000124006,Binance,7504.71,0.000930628,,
,,,,,,,,
2018/5/25 14:00,BTCUSDT,LONG,0.00012449,Binance,7460.59,0.000929698,,
,,,,,,,,
2018/5/25 20:00,BTCUSDT,SHORT,0.00012449,Binance,7442.24,0.000926484,,
,,,,,,,,
2018/5/25 22:00,BTCUSDT,LONG,0.000125121,Binance,7389.88,0.000925557,,
,,,,,,,,
2018/5/26 0:00,BTCUSDT,SHORT,0.000125121,Binance,7443.27,0.000931312,,
,,,,,,,,
2018/5/26 1:00,BTCUSDT,LONG,0.000124975,Binance,7437.11,0.00093038,,
,,,,,,,,
2018/5/26 7:00,BTCUSDT,SHORT,0.000124975,Binance,7550,0.000943558,,
,,,,,,,,
2018/5/26 9:00,BTCUSDT,LONG,0.00012489,Binance,7540.01,0.000942615,,
,,,,,,,,
2018/5/26 18:00,BTCUSDT,SHORT,0.00012489,Binance,7550,0.00094292,,
,,,,,,,,
2018/5/26 19:00,BTCUSDT,LONG,0.000124916,Binance,7533.35,0.000941977,,
,,,,,,,,
2018/5/27 2:00,BTCUSDT,SHORT,0.000124916,Binance,7304,0.000912386,,
,,,,,,,,
2018/5/27 5:00,BTCUSDT,LONG,0.000124933,Binance,7288.38,0.000911473,,
,,,,,,,,
2018/5/27 7:00,BTCUSDT,SHORT,0.000124933,Binance,7307,0.000912888,,
,,,,,,,,
2018/5/27 12:00,BTCUSDT,LONG,0.000124666,Binance,7308.06,0.000911975,,
,,,,,,,,
2018/5/27 14:00,BTCUSDT,SHORT,0.000124666,Binance,7344.99,0.000915667,,
,,,,,,,,
2018/5/27 18:00,BTCUSDT,LONG,0.000125579,Binance,7277,0.000914751,,
,,,,,,,,
2018/5/27 20:00,BTCUSDT,SHORT,0.000125579,Binance,7308.16,0.00091775,,
,,,,,,,,
2018/5/28 4:00,BTCUSDT,LONG,0.000125257,Binance,7312.28,0.000916832,,
,,,,,,,,
2018/5/28 7:00,BTCUSDT,SHORT,0.000125257,Binance,7215,0.00090373,,
,,,,,,,,
2018/5/28 10:00,BTCUSDT,LONG,0.000125042,Binance,7212.99,0.000902826,,
,,,,,,,,
2018/5/28 12:00,BTCUSDT,SHORT,0.000125042,Binance,7278.89,0.000910164,,
,,,,,,,,
2018/5/28 14:00,BTCUSDT,LONG,0.000125351,Binance,7246.39,0.000909254,,
,,,,,,,,
2018/5/29 4:00,BTCUSDT,SHORT,0.000125351,Binance,7110.97,0.000891369,,
,,,,,,,,
2018/5/29 5:00,BTCUSDT,LONG,0.00012563,Binance,7081.03,0.000890478,,
,,,,,,,,
2018/5/29 7:00,BTCUSDT,SHORT,0.00012563,Binance,7154.01,0.000898756,,
,,,,,,,,
2018/5/29 9:00,BTCUSDT,LONG,0.000125757,Binance,7132.5,0.000897857,,
,,,,,,,,
2018/5/29 10:00,BTCUSDT,SHORT,0.000125757,Binance,7192.13,0.000904458,,
,,,,,,,,
2018/5/29 15:00,BTCUSDT,LONG,0.000121479,Binance,7430.53,0.000903554,,
,,,,,,,,
2018/5/29 16:00,BTCUSDT,SHORT,0.000121479,Binance,7435.77,0.000903287,,
,,,,,,,,
2018/5/29 19:00,BTCUSDT,LONG,0.000120632,Binance,7473.01,0.000902383,,
,,,,,,,,
2018/5/29 20:00,BTCUSDT,SHORT,0.000120632,Binance,7499,0.000904616,,
,,,,,,,,
2018/5/29 22:00,BTCUSDT,LONG,0.000121699,Binance,7418.34,0.000903712,,
,,,,,,,,
2018/5/30 0:00,BTCUSDT,SHORT,0.000121699,Binance,7495,0.000912137,,
,,,,,,,,
2018/5/30 3:00,BTCUSDT,LONG,0.000121602,Binance,7486.01,0.000911225,,
,,,,,,,,
2018/5/30 5:00,BTCUSDT,SHORT,0.000121602,Binance,7498.63,0.000911849,,
,,,,,,,,
2018/5/30 6:00,BTCUSDT,LONG,0.000122151,Binance,7449.99,0.000910937,,
,,,,,,,,
2018/5/30 10:00,BTCUSDT,SHORT,0.000122151,Binance,7505.69,0.00091683,,
,,,,,,,,
2018/5/30 13:00,BTCUSDT,LONG,0.000121831,Binance,7510.4,0.000915913,,
,,,,,,,,
